logical_id,naptan_tube,station_name,name_key,fare_zone,lift_count,step_free_platform_count,accessible_toilet_count,accessibility_type,ramp_platform_count,mean_gap_mm,crowding_peak,crowding_evening,has_planned_closure,has_live_lift_issue,predicted_temp_c,pac_score
940GZZLURSG,940GZZLURSG,Ruislip Gardens Underground Station,ruislip gardens,5,0.0,0.0,1.0,0.0,0.0,,0.0005,0.0,0,0,30.1,
940GZZLURSM,940GZZLURSM,Ruislip Manor Underground Station,ruislip manor,6,0.0,0.0,0.0,0.0,0.0,,0.2051666666666666,0.146,0,0,27.1,
940GZZLURSP,940GZZLURSP,Ruislip Underground Station,ruislip,6,0.0,0.0,0.0,1.0,2.0,111.5,0.1508333333333333,0.1525,0,0,27.1,
940GZZLURSQ,940GZZLURSQ,Russell Square Underground Station,russell square,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,27.1,
HUBSVS,940GZZLUSVS,Seven Sisters Underground Station,seven sisters,3,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0,0,30.0,
HUBSPB,940GZZLUSBC,Shepherd's Bush (Central) Underground Station,shepherd's bush central,2,2.0,0.0,0.0,2.0,0.0,,0.2735,0.3725,0,0,30.1,
940GZZLUSBM,940GZZLUSBM,Shepherd's Bush Market Underground Station,shepherd's bush market,2,0.0,0.0,0.0,0.0,0.0,,0.1811666666666666,0.2033333333333333,0,0,25.2,
940GZZLUSSQ,940GZZLUSSQ,Sloane Square Underground Station,sloane square,1,0.0,0.0,0.0,0.0,0.0,,0.4733333333333333,0.5973333333333334,0,0,25.2,
940GZZLUSNB,940GZZLUSNB,Snaresbrook Underground Station,snaresbrook,4,0.0,0.0,0.0,0.0,0.0,,0.159,0.1326666666666666,0,0,30.1,
940GZZLUSEA,940GZZLUSEA,South Ealing Underground Station,south ealing,3,0.0,0.0,0.0,0.0,0.0,,0.0785,0.0648333333333333,0,0,27.1,
940GZZLUSHH,940GZZLUSHH,South Harrow Underground Station,south harrow,5,0.0,0.0,0.0,0.0,0.0,,0.1563333333333333,0.1188333333333333,0,0,27.1,
940GZZLUSKS,940GZZLUSKS,South Kensington Underground Station,south kensington,1,0.0,0.0,0.0,1.0,1.0,51.7,0.333,0.4433333333333333,0,0,27.1,
HUBSOK,940GZZLUSKT,South Kenton Underground Station,south kenton,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,30.0,
HUBSRU,940GZZLUSRP,South Ruislip Underground Station,south ruislip,5,0.0,0.0,1.0,0.0,0.0,,0.1916666666666666,0.1325,0,0,30.1,
