logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
940GZZLUGHK,940GZZLUGHK,Goldhawk Road Underground Station,goldhawk road,2,circle;hammersmith-city,51.502005,-0.226715
940GZZLUGDG,940GZZLUGDG,Goodge Street Underground Station,goodge street,1,northern,51.520599,-0.134361
940GZZLUGGH,940GZZLUGGH,Grange Hill Underground Station,grange hill,4,462;central,51.613378,0.092066
940GZZLUGPS,940GZZLUGPS,Great Portland Street Underground Station,great portland street,1,circle;hammersmith-city;metropolitan,51.52384,-0.144262
940GZZLUGPK,940GZZLUGPK,Green Park Underground Station,green park,1,jubilee;piccadilly;victoria,51.506947,-0.142787
HUBGFD,940GZZLUGFD,Greenford Underground Station,greenford,4,central,51.542424,-0.34605
HUBGUN,940GZZLUGBY,Gunnersbury Underground Station,gunnersbury,3,district,51.491803,-0.275267
940GZZLUHLT,940GZZLUHLT,Hainault Underground Station,hainault,4,central,51.603659,0.093482
HUBHMS,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,hammersmith dist&picc line,2,district;piccadilly,51.4923,-0.22362
HUBHMS,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,hammersmith h&c line,2,circle;hammersmith-city,51.49339,-0.22503
940GZZLUHTD,940GZZLUHTD,Hampstead Underground Station,hampstead,2+3,northern,51.556239,-0.177464
940GZZLUHGR,940GZZLUHGR,Hanger Lane Underground Station,hanger lane,3,central,51.530177,-0.292704
HUBHDN,940GZZLUHSN,Harlesden Underground Station,harlesden,3,bakerloo,51.53631,-0.257883
HUBHRW,940GZZLUHAW,Harrow & Wealdstone Underground Station,harrow & wealdstone,5,bakerloo,51.592268,-0.335217
HUBHOH,940GZZLUHOH,Harrow-on-the-Hill Underground Station,harrow on the hill,5,metropolitan,51.579195,-0.337225
940GZZLUHNX,940GZZLUHNX,Hatton Cross Underground Station,hatton cross,5+6,piccadilly,51.466747,-0.423191
HUBHX4,940GZZLUHR4,Heathrow Terminal 4 Underground Station,heathrow terminal 4,6,piccadilly,51.458524,-0.445771
HUBHX5,940GZZLUHR5,Heathrow Terminal 5 Underground Station,heathrow terminal 5,6,piccadilly,51.470052,-0.49056
HUBH13,940GZZLUHRC,Heathrow Terminals 2 & 3 Underground Station,heathrow terminals 2 & 3,6,piccadilly,51.471235,-0.452265
940GZZLUHCL,940GZZLUHCL,Hendon Central Underground Station,hendon central,3+4,northern,51.583301,-0.226424
940GZZLUHBT,940GZZLUHBT,High Barnet Underground Station,high barnet,5,northern,51.650541,-0.194298
940GZZLUHSK,940GZZLUHSK,High Street Kensington Underground Station,high street kensington,1,circle;district,51.501055,-0.192792
HUBHHY,940GZZLUHAI,Highbury & Islington Underground Station,highbury & islington,2,victoria,51.54635,-0.103324
940GZZLUHGT,940GZZLUHGT,Highgate Underground Station,highgate,3,northern,51.577532,-0.145857
940GZZLUHGD,940GZZLUHGD,Hillingdon Underground Station,hillingdon,6,metropolitan;piccadilly,51.553715,-0.449828
940GZZLUHBN,940GZZLUHBN,Holborn Underground Station,holborn,1,central;piccadilly,51.51758,-0.120475
940GZZLUHPK,940GZZLUHPK,Holland Park Underground Station,holland park,2,central,51.507143,-0.205679
940GZZLUHWY,940GZZLUHWY,Holloway Road Underground Station,holloway road,2,piccadilly,51.552697,-0.113244
940GZZLUHCH,940GZZLUHCH,Hornchurch Underground Station,hornchurch,6,district,51.554093,0.219116
940GZZLUHWC,940GZZLUHWC,Hounslow Central Underground Station,hounslow central,4,piccadilly,51.471295,-0.366578
940GZZLUHWE,940GZZLUHWE,Hounslow East Underground Station,hounslow east,4,piccadilly,51.473213,-0.356474
940GZZLUHWT,940GZZLUHWT,Hounslow West Underground Station,hounslow west,5,piccadilly,51.473469,-0.386544
940GZZLUHPC,940GZZLUHPC,Hyde Park Corner Underground Station,hyde park corner,1,piccadilly,51.503035,-0.152441
940GZZLUICK,940GZZLUICK,Ickenham Underground Station,ickenham,6,metropolitan;piccadilly,51.561992,-0.442001
