logical_id,naptan_tube,station_name,name_key,fare_zone,line_ids,lat,lon
940GZZLUPVL,940GZZLUPVL,Perivale Underground Station,perivale,4,central,51.536717,-0.323446
940GZZLUPCC,940GZZLUPCC,Piccadilly Circus Underground Station,piccadilly circus,1,bakerloo;piccadilly,51.51005,-0.133798
940GZZLUPCO,940GZZLUPCO,Pimlico Underground Station,pimlico,1,victoria,51.489097,-0.133761
940GZZLUPNR,940GZZLUPNR,Pinner Underground Station,pinner,5,metropolitan,51.592901,-0.381161
940GZZLUPLW,940GZZLUPLW,Plaistow Underground Station,plaistow,3,district;hammersmith-city,51.531341,0.017451
940GZZLUPRD,940GZZLUPRD,Preston Road Underground Station,preston road,4,metropolitan,51.571972,-0.295107
940GZZLUPYB,940GZZLUPYB,Putney Bridge Underground Station,putney bridge,2,district,51.468262,-0.208731
HUBQPW,940GZZLUQPS,Queen's Park Underground Station,queen's park,2,bakerloo,51.534158,-0.204574
940GZZLUQBY,940GZZLUQBY,Queensbury Underground Station,queensbury,4,jubilee,51.594188,-0.286219
940GZZLUQWY,940GZZLUQWY,Queensway Underground Station,queensway,1,central,51.510312,-0.187152
940GZZLURVP,940GZZLURVP,Ravenscourt Park Underground Station,ravenscourt park,2,district,51.494122,-0.235881
940GZZLURYL,940GZZLURYL,Rayners Lane Underground Station,rayners lane,5,metropolitan;piccadilly,51.575147,-0.371127
940GZZLURBG,940GZZLURBG,Redbridge Underground Station,redbridge,4,central,51.576243,0.04536
940GZZLURGP,940GZZLURGP,Regent's Park Underground Station,regent's park,1,bakerloo,51.523344,-0.146444
HUBRMD,940GZZLURMD,Richmond Underground Station,richmond,4,district,51.463237,-0.301336
HUBRIC,940GZZLURKW,Rickmansworth Underground Station,rickmansworth,7,metropolitan,51.640207,-0.473703
940GZZLURVY,940GZZLURVY,Roding Valley Underground Station,roding valley,4,central,51.617199,0.043647
940GZZLURYO,940GZZLURYO,Royal Oak Underground Station,royal oak,2,circle;hammersmith-city,51.519113,-0.188748
940GZZLURSG,940GZZLURSG,Ruislip Gardens Underground Station,ruislip gardens,5,central,51.560736,-0.41071
940GZZLURSM,940GZZLURSM,Ruislip Manor Underground Station,ruislip manor,6,metropolitan;piccadilly,51.573202,-0.412973
940GZZLURSP,940GZZLURSP,Ruislip Underground Station,ruislip,6,metropolitan;piccadilly,51.571354,-0.421898
940GZZLURSQ,940GZZLURSQ,Russell Square Underground Station,russell square,1,piccadilly,51.523073,-0.124285
HUBSVS,940GZZLUSVS,Seven Sisters Underground Station,seven sisters,3,victoria,51.58333,-0.072584
HUBSPB,940GZZLUSBC,Shepherd's Bush (Central) Underground Station,shepherd's bush central,2,central,51.504376,-0.218813
940GZZLUSBM,940GZZLUSBM,Shepherd's Bush Market Underground Station,shepherd's bush market,2,circle;hammersmith-city,51.505579,-0.226375
940GZZLUSSQ,940GZZLUSSQ,Sloane Square Underground Station,sloane square,1,circle;district,51.49227,-0.156377
940GZZLUSNB,940GZZLUSNB,Snaresbrook Underground Station,snaresbrook,4,central,51.580678,0.02144
940GZZLUSEA,940GZZLUSEA,South Ealing Underground Station,south ealing,3,piccadilly,51.501003,-0.307424
940GZZLUSHH,940GZZLUSHH,South Harrow Underground Station,south harrow,5,piccadilly,51.564888,-0.352492
940GZZLUSKS,940GZZLUSKS,South Kensington Underground Station,south kensington,1,circle;district;piccadilly,51.494094,-0.174138
HUBSOK,940GZZLUSKT,South Kenton Underground Station,south kenton,4,bakerloo,51.570232,-0.308433
HUBSRU,940GZZLUSRP,South Ruislip Underground Station,south ruislip,5,central,51.556853,-0.398915
940GZZLUSWN,940GZZLUSWN,South Wimbledon Underground Station,south wimbledon,3+4,northern,51.415309,-0.192005
940GZZLUSWF,940GZZLUSWF,South Woodford Underground Station,south woodford,4,central,51.591907,0.027338
940GZZLUSFS,940GZZLUSFS,Southfields Underground Station,southfields,3,district,51.445073,-0.206602
940GZZLUSGT,940GZZLUSGT,Southgate Underground Station,southgate,4,piccadilly,51.632315,-0.127816
940GZZLUSWK,940GZZLUSWK,Southwark Underground Station,southwark,1,jubilee,51.50427,-0.105331
940GZZLUSJP,940GZZLUSJP,St. James's Park Underground Station,st james's park,1,circle;district,51.499544,-0.133608
940GZZLUSJW,940GZZLUSJW,St. John's Wood Underground Station,st john's wood,2,jubilee,51.534521,-0.173948
940GZZLUSPU,940GZZLUSPU,St. Paul's Underground Station,st paul's,1,central,51.514936,-0.097567
940GZZLUSFB,940GZZLUSFB,Stamford Brook Underground Station,stamford brook,2,district,51.494917,-0.245704
940GZZLUSTM,940GZZLUSTM,Stanmore Underground Station,stanmore,5,jubilee,51.619839,-0.303266
940GZZLUSGN,940GZZLUSGN,Stepney Green Underground Station,stepney green,2,district;hammersmith-city,51.521858,-0.046596
940GZZLUSKW,940GZZLUSKW,Stockwell Underground Station,stockwell,2,northern;victoria,51.472184,-0.122644
HUBSBP,940GZZLUSGP,Stonebridge Park Underground Station,stonebridge park,3,bakerloo,51.543959,-0.275892
