route_id,min_step_free,min_accessibility,max_gap_mm,min_lift_count,any_lift_issue,any_closure,mean_crowding_peak,route_temp,num_interchanges,zone_span,goal,pac_formula,human_label_1to5,label_good,mean_accessibility,prop_stepfree
R255,0.0,0.0,51.7,0.0,0,0,0.2386574074074074,30.1,3,2.0,comfort,0.3642,3.0,0,1.6111111111111112,0.6666666666666666
R256,0.0,0.0,77.2,0.0,0,0,0.2329537037037037,30.1,2,2.0,punctuality,0.3817,3.0,0,1.4444444444444444,0.6111111111111112
R257,0.0,0.0,126.5,0.0,0,0,0.2357733333333333,30.0,1,5.0,accessibility,0.398,3.0,0,1.32,0.56
R258,0.0,0.0,126.5,0.0,0,0,0.23871333333333328,30.1,4,5.0,comfort,0.3475,2.0,0,1.32,0.56
R259,0.0,0.0,118.0,0.0,0,0,0.14013333333333333,30.1,1,2.0,punctuality,0.4123,4.0,1,1.3,0.6
R260,0.0,0.0,42.5,0.0,0,0,0.3915,30.1,1,1.0,accessibility,0.3746,4.0,1,1.8571428571428572,0.7142857142857143
R261,0.0,2.0,53.5,1.0,0,0,0.4284523809523809,30.1,2,1.0,comfort,0.6191,3.0,0,2.5714285714285716,1.0
R262,0.0,0.0,42.5,0.0,0,0,0.2297619047619047,30.1,2,1.0,punctuality,0.3822,1.0,0,2.142857142857143,0.7142857142857143
R263,0.0,0.0,42.5,0.0,0,0,0.2307857142857142,30.1,3,1.0,accessibility,0.3654,1.0,0,2.0,0.7142857142857143
R264,0.0,0.0,118.0,0.0,0,0,0.194765625,30.1,3,2.0,comfort,0.3708,2.0,0,1.4375,0.625
R265,0.0,0.0,42.5,0.0,0,0,0.19097058823529411,30.1,1,2.0,punctuality,0.4047,4.0,1,0.9411764705882353,0.4117647058823529
R266,0.0,0.0,42.5,0.0,0,0,0.31749999999999995,30.1,2,3.0,accessibility,0.369,5.0,1,1.1538461538461537,0.46153846153846156
R267,0.0,0.0,42.5,0.0,0,0,0.31909523809523804,30.1,4,3.0,comfort,0.3355,1.0,0,1.2142857142857142,0.5
R268,0.0,0.0,126.5,0.0,0,0,0.19821428571428565,30.1,4,4.0,punctuality,0.3536,3.0,0,1.5714285714285714,0.5714285714285714
R269,0.0,0.0,126.5,0.0,0,0,0.1947142857142857,30.0,1,4.0,accessibility,0.4041,2.0,0,1.5714285714285714,0.5714285714285714
R270,0.0,0.0,77.2,0.0,0,0,0.27702777777777776,30.1,2,1.0,comfort,0.3751,3.5,1,1.6666666666666667,0.6666666666666666
R271,0.0,0.0,77.2,0.0,0,0,0.2844871794871795,30.1,3,1.0,punctuality,0.3573,3.5,1,1.5384615384615385,0.6153846153846154
R272,0.0,0.0,95.0,0.0,0,0,0.20905555555555552,30.1,1,1.0,accessibility,0.402,3.0,0,0.8333333333333334,0.3888888888888889
R273,0.0,0.0,95.0,0.0,0,0,0.2003157894736842,30.1,1,1.0,comfort,0.4033,3.0,0,0.7894736842105263,0.3684210526315789
R274,0.0,0.0,53.5,0.0,0,0,0.3798205128205128,30.1,2,2.0,punctuality,0.3597,3.0,0,1.8461538461538463,0.6923076923076923
R275,0.0,0.0,42.5,0.0,0,0,0.35992307692307696,30.1,2,2.0,accessibility,0.3627,1.0,0,1.4615384615384615,0.5384615384615384
R276,0.0,0.0,42.5,0.0,0,0,0.2622272727272727,30.1,1,2.0,comfort,0.394,3.0,0,1.0909090909090908,0.5454545454545454
R277,0.0,0.0,42.5,0.0,0,0,0.2818690476190476,30.1,2,2.0,punctuality,0.3744,4.0,1,1.2142857142857142,0.5714285714285714
R278,0.0,0.0,189.0,0.0,0,0,0.22802272727272727,30.1,4,8.0,accessibility,0.3491,1.0,0,1.5909090909090908,0.5909090909090909
R279,0.0,0.0,189.0,0.0,0,0,0.22468181818181818,30.0,1,8.0,comfort,0.3996,2.0,0,1.5909090909090908,0.5909090909090909
R280,0.0,0.0,42.5,0.0,0,0,0.3431190476190476,30.1,2,1.0,punctuality,0.3652,4.0,1,1.7142857142857142,0.7142857142857143
R281,0.0,0.0,42.5,0.0,0,0,0.3291481481481482,30.1,2,1.0,accessibility,0.3673,1.0,0,1.7777777777777777,0.7777777777777778
R282,0.0,0.0,77.2,0.0,0,0,0.2513076923076923,30.0,2,1.0,comfort,0.379,4.0,1,1.2307692307692308,0.5384615384615384
R283,0.0,0.0,42.5,0.0,0,0,0.25647619047619047,30.0,2,1.0,punctuality,0.3782,4.0,1,1.0714285714285714,0.42857142857142855
R284,0.0,0.0,77.2,0.0,0,0,0.24255263157894733,30.1,3,2.0,accessibility,0.3636,3.0,0,1.263157894736842,0.47368421052631576
R285,0.0,0.0,77.2,0.0,0,0,0.25380833333333336,30.1,2,2.0,comfort,0.3786,5.0,1,1.25,0.5
R286,0.0,0.0,213.0,0.0,0,0,0.2849999999999999,30.1,2,3.0,punctuality,0.3739,3.0,0,0.9411764705882353,0.4117647058823529
R287,0.0,0.0,213.0,0.0,0,0,0.2947450980392156,30.1,3,3.0,accessibility,0.3558,3.0,0,1.2352941176470589,0.5294117647058824
R288,0.0,0.0,189.0,0.0,0,0,0.18313095238095237,30.0,2,7.0,comfort,0.3892,3.0,0,0.9642857142857143,0.42857142857142855
R289,0.0,0.0,189.0,0.0,0,0,0.1871781609195402,30.0,2,7.0,punctuality,0.3886,4.0,1,0.9310344827586207,0.41379310344827586
R290,0.0,0.0,77.2,0.0,0,0,0.3076,30.1,2,0.0,accessibility,0.3705,1.0,0,2.0,0.8
R291,0.0,0.0,77.2,0.0,0,0,0.3003571428571429,30.1,2,0.0,comfort,0.3716,3.0,0,1.8571428571428572,0.7142857142857143
R292,0.0,0.0,126.5,0.0,0,0,0.1643833333333333,27.1,1,3.0,punctuality,0.4087,5.0,1,1.1,0.6
R293,0.0,0.0,126.5,0.0,0,0,0.1767575757575757,27.1,1,3.0,accessibility,0.4068,5.0,1,1.0,0.5454545454545454
R294,0.0,0.0,91.8,0.0,0,0,0.2505909090909091,30.0,3,3.0,comfort,0.3624,1.5,0,1.6363636363636365,0.6363636363636364
R295,0.0,0.0,91.8,0.0,0,0,0.2747222222222222,30.0,3,2.0,punctuality,0.3588,2.0,0,1.25,0.5
R296,0.0,0.0,125.0,0.0,0,0,0.2872692307692307,30.1,4,3.0,accessibility,0.3402,1.0,0,1.2692307692307692,0.5769230769230769
R297,0.0,0.0,125.0,0.0,0,0,0.28861728395061725,30.1,3,3.0,comfort,0.3567,3.0,0,1.1851851851851851,0.5185185185185185
R298,0.0,0.0,189.0,0.0,0,0,0.20210833333333328,30.1,4,8.0,punctuality,0.353,2.0,0,1.6,0.6
R299,0.0,0.0,189.0,0.0,0,0,0.1984333333333333,30.0,1,8.0,accessibility,0.4036,1.0,0,1.6,0.6
R300,0.0,0.0,126.5,0.0,0,0,0.23307692307692301,30.1,3,4.0,comfort,0.365,3.0,0,1.3076923076923077,0.5384615384615384
R301,0.0,0.0,126.5,0.0,0,0,0.220525641025641,30.1,3,4.0,punctuality,0.3669,3.0,0,1.3076923076923077,0.5384615384615384
R302,0.0,0.0,86.5,0.0,0,0,0.3033550724637681,30.1,4,5.0,accessibility,0.3378,1.0,0,1.391304347826087,0.6521739130434783
